words,weights
description,0.05221935596745673
today,0.2011289654136396
platforms,0.08808569891755146
efforts,0.11603594158479208
process,0.09909641128224539
intelligence,0.0647160236945276
provides,0.06327182486463787
interactive,0.04110977320850594
models,0.024299503149669367
building,0.09581162050930876
frameworks,0.01865344212371678
etc,0.0641900953447786
experience,0.2114056774021235
sure,0.2114056774021235
support,0.10229306971070491
syntax,0.0549738806200952
dynamic,0.008147039337448784
bourne,0.03258815734979514
nosql,0.008732829994338038
general,0.0076387396761407895
embedded,0.012172075200819626
runs,0.011921834230466723
supports,0.015094657584342959
scm,0.007947889486977815
another,0.06706813435651614
mapreduce,0.01972592186956357
revision,0.009313932992552126
hdfs,0.021038530994941275
protocol,0.013334135064153891
perforce,0.01972592186956357
j2ee,0.035065629234045353
businesses,0.07939301266327878
investing,0.10403222348981359
calculate,0.2514112067670495
comes,0.16760747117803299
customers,0.18855840507528712
require,0.14414023459235695
possible,0.2114056774021235
manage,0.11365389239975875
top,0.14414023459235695
understand,0.2265060829308466
simple,0.08383516794564518
would,0.2265060829308466
search,0.26425709675265435
example,0.14269815820535348
role,0.16689921900167642
builds,0.026109677983728364
technologies,0.09609348972823796
multiple,0.14414023459235695
kernel,0.02569660320173032
computers,0.012149751574834684
specific,0.15242757808299123
vb,0.019473050467187024
client,0.012702298173582602
sharepoint,0.02709507779651528
site,0.02709507779651528
production,0.8383516794564517
abap,0.1099477612401904
pages,0.011921834230466723
online,0.008147039337448784
multi,0.0074520149285017935
part,0.11976452563663595
configuration,0.010667308051323113
component,0.009313932992552126
style,0.010063105056228639
cvs,0.01972592186956357
communication,0.00740486598165635
netweaver,0.0074520149285017935
important,0.1761713978351029
automation,0.012880774471972658
scala,0.01972592186956357
hbase,0.021038530994941275
jboss,0.01972592186956357
service,0.07153100538280033
fully,0.16689921900167642
teradata,0.17649509041188458
investment,0.16689921900167642
success,0.2114056774021235
calculation,0.1761713978351029
percent,0.3091385873273438
calculating,0.14414023459235695
mean,0.7153100538280034
factors,0.14904029857003587
saved,0.1378732678709501
consider,0.2395290512732719
perform,0.19869723717444535
starting,0.2235604478550538
start,0.0979876786065758
potential,0.30485515616598247
candidates,0.15242757808299123
proficient,0.0931501866062724
list,0.2235604478550538
likely,0.20958791986411293
larger,0.07134907910267674
release,0.05221935596745673
responsible,0.02709507779651528
know,0.10817441025244538
basic,0.024165880196892007
add,0.15242757808299123
extract,0.013703257736168645
features,0.013703257736168645
sources,0.14580029207938291
recommendation,0.16767033589129035
touch,0.013703257736168645
blackberry,0.02740651547233729
familiar,0.043911731154452245
erp,0.012702298173582602
resource,0.01354753889825764
infrastructure,0.07984301709109064
developing,0.012702298173582602
wide,0.01354753889825764
develop,0.12669614234727206
cross,0.0076387396761407895
ant,0.012982033644791348
describe,0.008147039337448784
form,0.008147039337448784
side,0.009313932992552126
typically,0.01629407867489757
reporting,0.017604703150759897
objects,0.008000481038492335
ci,0.007947889486977815
users,0.17649509041188458
document,0.009313932992552126
json,0.004936577321104233
track,0.1375596257361545
making,0.2235604478550538
text,0.004936577321104233
network,0.006491016822395674
memory,0.012982033644791348
library,0.012880774471972658
non,0.16443541879114032
subversion,0.007947889486977815
improve,0.3726007464250896
integrated,0.008587182981315106
environment,0.008587182981315106
bytecode,0.012880774471972658
method,0.008000481038492335
execute,0.08317558765441899
jquery,0.021038530994941275
view,0.008587182981315106
mvc,0.021039377540427208
architecture,0.008000481038492335
individual,0.2794505598188172
puppet,0.021038530994941275
extensible,0.011786604416010937
soa,0.021039377540427208
save,0.15242757808299123
challenges,0.15242757808299123
still,0.24665863925103562
staff,0.4470687836425021
yet,0.12897718145483875
enterprises,0.11976452563663595
money,0.14580029207938291
ai,0.1589577897395563
productivity,0.17649509041188458
study,0.14306201076560066
analytics,0.275119251472309
clear,0.15968603418218127
analysts,0.41917583972822586
number,0.16635117530883797
question,0.10161838538866082
maturity,0.21676062237212224
per,0.33121991499358266
initiative,0.14580029207938291
year,0.09934861858722267
rate,0.29724864166090753
maintenance,0.255467876367144
disruption,0.30485515616598247
introduction,0.14862432083045377
fast,0.06877981286807724
talent,0.10519265497470637
industry,0.15550218561478332
efficiency,0.3973944743488907
market,0.22353439182125104
communicate,0.275119251472309
learn,0.09660580853979495
demand,0.18823948784947456
way,0.275119251472309
phone,0.10733978726643881
vary,0.10443871193491346
match,0.23843668460933443
required,0.23843668460933443
key,0.1375596257361545
makes,0.19869723717444535
engineers,0.07947889486977815
average,0.32514093355818335
testing,0.024165880196892007
coding,0.04110977320850594
analyst,0.06748208054981163
organization,0.024165880196892007
adobe,0.06334807117363603
specification,0.013703257736168645
sklearn,0.013703257736168645
primarily,0.014805487898819147
middleware,0.014805487898819147
experienced,0.029274487436301497
components,0.013703257736168645
particularly,0.07609681423702162
within,0.1153725893270973
recommender,0.021038530994941275
engines,0.021038530994941275
planning,0.01354753889825764
solutions,0.15550218561478332
reliability,0.021038530994941275
architect,0.021038530994941275
speed,0.23843668460933443
prior,0.17882751345700085
actionscript,0.06334807117363603
implemented,0.008147039337448784
foundation,0.008802351575379948
allowing,0.010063105056228639
assembly,0.017604703150759897
awk,0.021038530994941275
bash,0.02273077847995175
query,0.008147039337448784
olap,0.008802351575379948
analytical,0.008802351575379948
statistical,0.008802351575379948
collection,0.008147039337448784
storage,0.008802351575379948
see,0.008802351575379948
procedural,0.010063105056228639
pronounced,0.004656966496276063
ui,0.06748208054981163
continuous,0.008587182981315106
two,0.004656966496276063
base,0.19869723717444535
xcode,0.014026251693618139
coffeescript,0.014026251693618139
performance,0.1375596257361545
suite,0.005333654025661556
analyze,0.12332931962551781
resources,0.08317558765441899
domain,0.005333654025661556
couchdb,0.006491016822395674
rest,0.006491016822395674
sinatra,0.005333654025661556
standard,0.07947889486977815
directly,0.11176719591062552
dynpro,0.0454615569599035
internal,0.15550218561478332
target,0.16257046677909168
libraries,0.010063105056228639
go,0.010063105056228639
note,0.0454615569599035
file,0.008587182981315106
hypertext,0.008587182981315106
main,0.008587182981315106
browser,0.008587182981315106
hudson,0.008587182981315106
iphone,0.014232324832333207
virtual,0.014232324832333207
known,0.005333654025661556
ee,0.014232324832333207
rmi,0.014026251693618139
documents,0.005333654025661556
jruby,0.014026251693618139
readable,0.005333654025661556
especially,0.08128523338954584
easily,0.1153725893270973
widely,0.005333654025661556
examples,0.005333654025661556
product,0.07728464683183595
series,0.008839953312008203
structured,0.008839953312008203
sas,0.02273077847995175
institute,0.1375596257361545
comprehensive,0.18823948784947456
sdk,0.014026251693618139
apply,0.7728464683183596
procedures,0.07291004418097731
determine,0.17031191757809602
cloud,0.014026251693618139
wsdl,0.014026251693618139
xhtml,0.014026251693618139
xsl,0.007013125846809069
given,0.22353439182125104
digital,0.23419589949041197
visual,0.02273077847995175
driven,0.08515595878904801
weka,0.021038530994941275
manager,0.19869723717444535
tomcat,0.02273077847995175
contributions,0.12332931962551781
provide,0.19869723717444535
spending,0.08515595878904801
years,0.255467876367144
return,0.18823948784947456
really,0.11921834230466721
worth,0.11921834230466721
looking,0.14902292788083402
hours,0.10218715054685762
invest,0.1375596257361545
reported,0.14902292788083402
improved,0.17882751345700085
quantify,0.10519265497470637
struggle,0.4470687836425021
easier,0.127733938183572
reality,0.07609681423702162
complicated,0.16257046677909168
path,0.17174365962630211
providing,0.127733938183572
considering,0.11176719591062552
ways,0.127733938183572
calculations,0.21038530994941274
reduced,0.29804585576166803
scientists,0.13246482478296356
morale,0.255467876367144
benefits,0.18823948784947456
even,0.10838031118606112
benefit,0.1375596257361545
edge,0.22353439182125104
less,0.22353439182125104
engagement,0.17882751345700085
cost,0.12332931962551781
factor,0.255467876367144
predictive,0.255467876367144
decreased,0.17882751345700085
fewer,0.24168098771886576
short,0.15550218561478332
guide,0.07431216041522688
recruiter,0.11365389239975875
heart,0.32201936179931645
knowledge,0.21467957453287762
point,0.25761548943945317
definitions,0.08587182981315106
brief,0.10443871193491346
effectively,0.12465265618038056
clients,0.05221935596745673
terms,0.09660580853979495
talk,0.2760165958279855
faster,0.09660580853979495
managers,0.1932116170795899
came,0.32201936179931645
said,0.14311971635525175
evolve,0.29724864166090753
field,0.10733978726643881
section,0.17564692461780898
overview,0.24151452134948734
function,0.10443871193491346
dataikucom,0.0
opensource,0.0
operatingsystem,0.0
datascience,0.0
wwwdataiku,0.0
comdataiku,0.0
programminglanguage,0.0
rubyrails,0.0
technologyglossary,0.0
glossaryrecruiters,0.0
dataikuinc,0.0
incwww,0.0
comcontact,0.0
contactdataiku,0.0
datascientist,0.0
bigdata,0.0
machinelearning,0.0
similarskill,0.0
techroles,0.0
coreskills,0.0
perlpython,0.0
programminglanguages,0.0
operatingsystems,0.0
aspnet,0.0
databasemanagement,0.0
managementsystem,0.0
skillsruby,0.0
datainitiatives,0.0
datateam,0.0
backend,0.0
sourcecode,0.0
rubyruby,0.0
enddeveloper,0.0
frontend,0.0
writtenjava,0.0
relationaldatabase,0.0
skillsets,0.0
roidata,0.0
webapplication,0.0
oolanguage,0.0
bourneshell,0.0
generalpurpose,0.0
gildsource,0.0
markuplanguage,0.0
sqlserver,0.0
dataprocessing,0.0
datasets,0.0
businessintelligence,0.0
mongoredis,0.0
linuxunix,0.0
vbnet,0.0
softwaredevelopment,0.0
webpages,0.0
shellunix,0.0
unixshell,0.0
datamining,0.0
revisioncontrol,0.0
descriptionlanguage,0.0
skillset,0.0
skillscassandra,0.0
pythonskills,0.0
skillsasp,0.0
datateams,0.0
techrelated,0.0
relatedroles,0.0
technicalskills,0.0
rolesrequire,0.0
dataengineer,0.0
releaseengineer,0.0
iosoperating,0.0
microsofttechnology,0.0
highlevel,0.0
worldwide,0.0
wideweb,0.0
webdevelopment,0.0
scriptinglanguage,0.0
objectoriented,0.0
netframework,0.0
writtenruby,0.0
configurationmanagement,0.0
javaplatform,0.0
largedata,0.0
svnsubversion,0.0
gitperforce,0.0
javabytecode,0.0
rdbmsrelational,0.0
oolanguages,0.0
shellscripting,0.0
valuedata,0.0
webservices,0.0
phppython,0.0
mapreducemongo,0.0
railsskills,0.0
skillsajax,0.0
csshtml,0.0
htmljavascript,0.0
timesaved,0.0
populartech,0.0
rolesprogramming,0.0
languagestechnical,0.0
requireskills,0.0
developmentskills,0.0
windowsphone,0.0
commontech,0.0
varycompany,0.0
languagesskills,0.0
programmingdevelopment,0.0
interactivedeveloper,0.0
skillspython,0.0
pythonmongo,0.0
mobiledevices,0.0
developerexperienced,0.0
netdeveloper,0.0
oracledeveloper,0.0
recommenderengines,0.0
applicationsproducts,0.0
erpenterprise,0.0
enterpriseresource,0.0
resourceplanning,0.0
developedmicrosoft,0.0
webdeveloper,0.0
webapplications,0.0
similarperl,0.0
serverside,0.0
applicationframework,0.0
allowingdevelopers,0.0
freesoftware,0.0
olaponline,0.0
onlineanalytical,0.0
analyticalprocessing,0.0
statisticalanalysis,0.0
frameworkwritten,0.0
cicontinuous,0.0
continuousintegration,0.0
softwareconfiguration,0.0
purposeoo,0.0
ooprogramming,0.0
cocoatouch,0.0
clientserver,0.0
controlsystem,0.0
userinterface,0.0
sapnetweaver,0.0
codemanagement,0.0
languagedesigned,0.0
memorymanagement,0.0
integrationtool,0.0
toolwritten,0.0
virtualmachine,0.0
javaee,0.0
cvsgit,0.0
perforcesvn,0.0
rubyjavascript,0.0
hardwaredescription,0.0
visualbasic,0.0
hiringmanager,0.0
skillsjava,0.0
cassandrahbase,0.0
hbasehdfs,0.0
hdfsjava,0.0
javapuppet,0.0
puppetruby,0.0
rubyscala,0.0
scalasimilar,0.0
sethadoop,0.0
hadoopmapreduce,0.0
mongoperl,0.0
railsdeveloper,0.0
javaj2ee,0.0
ajaxasp,0.0
rubyhtml,0.0
htmlruby,0.0
dataefforts,0.0
roicalculation,0.0
datadata,0.0
dataprojects,0.0
calculatingroi,0.0
saveddata,0.0
datascientists,0.0
customerengagement,0.0
predictivemaintenance,0.0
shortterm,0.0
calculateroi,0.0
sciencetools,0.0
rolesskills,0.0
skillslanguages,0.0
techworld,0.0
technicalknowledge,0.0
techglossary,0.0
startingpoint,0.0
hiringmanagers,0.0
mobiledeveloper,0.0
developerproficient,0.0
platformswindows,0.0
mobiledevelopment,0.0
betterunderstand,0.0
recruitingefforts,0.0
largescale,0.0
scaledata,0.0
dataengineers,0.0
averagedata,0.0
engineersoftware,0.0
softwarerelease,0.0
engineergatekeeper,0.0
scriptinglanguages,0.0
languagesbusiness,0.0
intelligenceanalyst,0.0
flashdeveloper,0.0
adobeflash,0.0
flashplayer,0.0
interactivemedia,0.0
deeplearning,0.0
redissklearn,0.0
sklearnmatlab,0.0
linuxbased,0.0
basedoperating,0.0
systemdeveloped,0.0
androidios,0.0
middlewaredeveloper,0.0
experiencedusing,0.0
oracledatabase,0.0
osdeveloper,0.0
languagestools,0.0
sapdeveloper,0.0
sapsystems,0.0
systemsapplications,0.0
productsdata,0.0
sharepointdeveloper,0.0
designimplementation,0.0
sitereliability,0.0
reliabilityengineer,0.0
softwarearchitect,0.0
windowsoperating,0.0
priorstarting,0.0
applicationprogramming,0.0
levelprogramming,0.0
germansoftware,0.0
softwarecompany,0.0
sourceoo,0.0
serverweb,0.0
softwarecomponents,0.0
languageapple,0.0
appleinc,0.0
orientedprogramming,0.0
phpasp,0.0
sideweb,0.0
dynamicweb,0.0
languagetypically,0.0
lowlevel,0.0
reportingtool,0.0
bashshell,0.0
shelldefault,0.0
defaultshell,0.0
shelllinux,0.0
scientistwork,0.0
redisgit,0.0
managementtools,0.0
applicationsusing,0.0
purposeprogramming,0.0
embeddedsystems,0.0
syntaxsimilar,0.0
distributeddatabase,0.0
softwaretools,0.0
scmsoftware,0.0
ucmunified,0.0
unifiedmanagement,0.0
endteam,0.0
teamgild,0.0
languageone,0.0
objectivecocoa,0.0
appleos,0.0
developedusing,0.0
componentobject,0.0
sourcedocument,0.0
documentoriented,0.0
restfuljson,0.0
querylanguage,0.0
developerwork,0.0
stylesheets,0.0
stylesheet,0.002946651104002734
languagedescribe,0.0
sourcesoftware,0.0
onepopular,0.0
platformjava,0.0
datawarehousing,0.0
automationtool,0.0
languagesimilar,0.0
pythonruby,0.0
processinglarge,0.0
hdfshadoop,0.0
hadoopdistributed,0.0
filesystem,0.004744108277444402
hypertextmarkup,0.0
languageweb,0.0
webbrowser,0.0
supportsscm,0.0
scmsource,0.0
toolscvs,0.0
datacleaning,0.0
ideintegrated,0.0
integrateddevelopment,0.0
developmentenvironment,0.0
j2eejava,0.0
platformenterprise,0.0
enterpriseedition,0.0
webbased,0.0
javavirtual,0.0
enterprisejava,0.0
javarmi,0.0
programexecute,0.0
executesubroutines,0.0
subroutineslocally,0.0
locallyremotely,0.0
remotelyanother,0.0
anothercomputer,0.0
computerusing,0.0
usingessentially,0.0
essentiallycode,0.0
rubylanguage,0.0
humanreadable,0.0
kornshell,0.0
programmingmodel,0.0
modelview,0.0
viewcontroller,0.0
databaseswritten,0.0
softwareplatform,0.0
multiuser,0.0
makingsure,0.0
developmentkit,0.0
frameworkruns,0.0
netweaversap,0.0
sapapplications,0.0
vpengineering,0.0
enddata,0.0
analysissystem,0.0
opendata,0.0
accessprotocol,0.0
computerprograms,0.0
systemproduced,0.0
perlphp,0.0
systemsoftware,0.0
linuxlinux,0.0
customerfacing,0.0
facingweb,0.0
applicationscore,0.0
managementprograms,0.0
softwareperform,0.0
setsoftware,0.0
developmenttools,0.0
systemmicrosoft,0.0
tcpip,0.0
domainspecific,0.0
unittesting,0.0
windowsserver,0.0
hdlhardware,0.0
netoo,0.0
targetcandidates,0.0
engineerdata,0.0
learningrecommender,0.0
enginesoracle,0.0
jbossapache,0.0
apachetomcat,0.0
unixmysql,0.0
html5javascript,0.0
skillsperl,0.0
javaperl,0.0
pythonweka,0.0
wekaskills,0.0
netsql,0.0
sqldatabases,0.0
databasesmysql,0.0
mysqloracle,0.0
oraclepostgresql,0.0
postgresqlrdbms,0.0
httpjava,0.0
developerfront,0.0
developerinteractive,0.0
developerweb,0.0
aspasp,0.0
netvb,0.0
netsimilar,0.0
setsjava,0.0
j2eeoo,0.0
cocoacocoa,0.0
objectiveobjective,0.0
objectiveos,0.0
osxcode,0.0
skillsactionscript,0.0
aspcoffeescript,0.0
coffeescriptcss,0.0
javascriptjquery,0.0
ajaxcss,0.0
javascriptphp,0.0
phpxhtml,0.0
xhtmlskills,0.0
serviceswsdl,0.0
wsdlxml,0.0
developerskills,0.0
html5java,0.0
skillscocoa,0.0
gildcom,0.0
techrecruiting,0.0
dataroi,0.0
returninvestment,0.0
recommendationengine,0.0
customerchurn,0.0
gainsdata,0.0
datadriven,0.0
analystsstruggle,0.0
internationalinstitute,0.0
instituteanalytics,0.0
challengescalculating,0.0
dataproject,0.0
consideringways,0.0
perweek,0.0
scientistsanalysts,0.0
existingdata,0.0
completeprojects,0.0
projectsyear,0.0
avgannual,0.0
annualrate,0.0
rateds,0.0
dschurn,0.0
dataikucustomers,0.0
staffingcosts,0.0
datainitiative,0.0
costsimproved,0.0
workflowdisruption,0.0
disruptiondata,0.0
takingtime,0.0
cuttingedge,0.0
noncompliance,0.0
investingdata,0.0
digitalmaturity,0.0
teamdata,0.0
enterpriseai,0.0
dataikuplatform,0.0
miningvisualization,0.0
recruitersguide,0.0
guidetech,0.0
languagescontents,0.0
contentsintroduction,0.0
introductionpopular,0.0
skillstech,0.0
skillsgild,0.0
gildtechnology,0.0
recruitersintroduction,0.0
introductionplain,0.0
plaintruth,0.0
truthtech,0.0
worldfast,0.0
recruitercompeting,0.0
competingpossible,0.0
possibletalent,0.0
talentmanage,0.0
managestay,0.0
staytop,0.0
toptypes,0.0
typestech,0.0
languagestech,0.0
requirelanguage,0.0
recruitersoftentimes,0.0
oftentimessalespeople,0.0
salespeopleheart,0.0
heartinarguable,0.0
inarguablerelationship,0.0
relationshipdevelopment,0.0
lackdegree,0.0
degreetechnical,0.0
knowledgebetter,0.0
betterperform,0.0
performtech,0.0
techrecruiters,0.0
developedtech,0.0
recruiterslevel,0.0
levelexpertise,0.0
expertiseindustry,0.0
industryable,0.0
ablesolid,0.0
solidstarting,0.0
pointtech,0.0
guideunderstand,0.0
understandpopular,0.0
rolescalled,0.0
calledprogramming,0.0
skillsdefinitions,0.0
definitionsbrief,0.0
briefdescription,0.0
descriptiontech,0.0
skillsstop,0.0
stopwondering,0.0
wonderingstart,0.0
startsearching,0.0
searchinggreater,0.0
greaterefficiency,0.0
efficiencytight,0.0
tighttech,0.0
techtalent,0.0
talentmarket,0.0
marketglossary,0.0
glossarycommunicate,0.0
