company,location,title,job_desc,role
FormSwift,"San Francisco, CA",Junior Software Engineer,"
Building new product features across the back end and front end using Python and JavaScript
Optimizing code for maintainability, scalability, and security
Implementing user experience improvements using HTML, CSS, and JavaScript
Recent college graduate (Computer Science graduates a plus) or 2020 Spring/Summer graduate
Project experience in web applications
Experience with JavaScript (React and Redux experience a plus)
Experience with HTML and CSS
Interest in responsive web design
Knowledge of MVC web application frameworks
Strong Computer Science fundamentals
Competitive Pay
80% paid premiums for Medical, Dental, Vision Insurance
401K Matching
Commuter Benefits
Daily Free Lunch & Snacks
Monthly Happy Hours
Yearly Company Trip
Opportunities for continued education and training
Work from Home Flexibility
Unlimited PTO...take time off when you need it!",software engineer
"Amazon Dev Center U.S., Inc.","Boston, MA",Software Engineer,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented designKnowledge of network, distributed, asynchronous, and concurrent programmingKnowledge of operating system fundamentals (Linux or Windows)Experience in Agile/SCRUM enterprise-scale software developmentFamiliarity with building secure software using modern security principlesExperience with AWS services",software engineer
InterPro Solutions,"Stoneham, MA",Entry Level Software Engineer,"At least one-year experience working with object-oriented programming languages (preferably Java, C++, or C#).Must have working experience in SQL, Java, C/C++/C#, and HTML.Possess knowledge of smartphone (iPhone/iPad, Windows 81+/Windows Phone 81+, or Android) applications and related technologies.Knowledge of web technologies (CSS, JavaScript, JSP, XML/XSL, JSON, Spring Framework, and ASP.NET).Comfortable with relational database design (SQL, table design, mapping to objects).Knowledge of computerized maintenance management software (Maximo, SAP, Infor, or others) is a plus.Self-Starter, self-managing with strong initiative, and a team player with an Entrepreneurial Attitude as well as attention to detail.Ability to learn new technologies on own without formal training.Must be professional and have the ability to write functional definition documents.Good customer interfacing skills.Excellent written & verbal communication skills.Ability to provide clear and detailed written procedures and report.BS or MS in Computer Science or related field (mathematics, EE) / Recent college graduates will be strongly considered.",software engineer
Xactware,"Lexington, MA",Software Engineer,"Bachelor’s degree in math, computer science, engineering, or physical science (physics, atmospheric science, earth science, meteorology, etc.).Proficiency (at least 3 years experience) in at least one of the following areas:Proficiency in Linux / UNIX / shell scripting.Proficiency in one or more version control systems such as Git, Subversion, Perforce, IBM Rational ClearCase, etc.Experience in software development of scientific or engineering applications.Familiarity with C++ and/or Go.Experience in developing for cloud-based environments, specifically Amazon Web Services (AWS).Experience working with databases (MySQL or PostgresSQL).",software engineer
Ribbon Health,"New York, NY",Software Engineer (All Levels),"
Passion and drive to simplify healthcare by building products that increase access to care and power every healthcare decision to be high-quality, cost-effective, and convenient
Commitment to Ribbon Health company values, working on an exceptional team, and building an exceptional company
Grit, hustle, desire, and a “get-it-done” attitude; strong comfort with a lean startup environment, where everyone is encouraged to participate in and contribute across all teams
You have a strong background in Computer Science or other equivalent field
You have experience developing full applications from start-to-finish
You have experience working with data at scale (e.g., EMR, Hadoop, Spark, HBase, Presto, pushed the limits of Postgres) and designing, building, and managing scalable systems in the cloud (e.g., AWS, Google Cloud, Azure)
You care about building enterprise-grade systems because you understand how our products meaningfully impact patients downstream
You have comfort with AWS cloud technologies and have a track record of learning new technologies and languages on the job
Build production-grade API platform: You will design, build, and maintain Ribbon’s core APIs and services, making sure our platform is enterprise-grade across end-user functionality, security, and scalability
Build and launch new products: You will work with the product team to design, build, and launch new products and product features. This includes new APIs and front-end applications to extend the reach of our core technology
Build data pipelines: You will build data pipelines to bring together thousands of datasets across hundreds of different sources; data engineering is a core part of what we do
Build data infrastructure: You will develop infrastructure to support our ETL, analytics and modeling workflows
Build internal tools: You will help our internal teams 10x their efforts by developing tools to streamline their workflows (e.g. sales, deployment, recruiting, and product)
Evaluate third-party and open source software: You will make decisions about what we build versus buy and where to buy",software engineer
Google,"Cambridge, MA","Software Engineer, Engineering Productivity","
Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.
Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.Scripting skills in Python, Perl, Shell or another common language.Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.Design and build advanced automated build, test, and release infrastructure.Drive adoption of best practices in code health, testing, and maintainability.Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",software engineer
Amazon.com Services LLC,"Cambridge, MA",Software Development Engineer - Web Services,"5+ years industry experience building successful production software systemsB.S. degree in Computer ScienceExperience converting high-level product requirements into successful products through solid software architectures, engineering design and implementation.Experience in modern programming languages (Java, Python),Experience applying computer science fundamentals in various area.Hands-on programming experienceResponsible for developing cutting edge solutionsInvestigate, design, prototype and evaluate technical solutions.Work in an Agile/Scrum environment to deliver high quality software against aggressive schedules.Provide technical excellenceCollege degreeExperience with Amazon AWS platform, cloud products and solutions.Experience designing and developing cloud software services for scalability, performance and reliability.Development experience defining, developing and maintaining REST based interfaces and micro servicesOperational experience and desire to own highly available critical cloud infrastructure.Solid s/w engineer & advance Java practitionerExcellence in technical communication with peers and non-technical cohortsExcellent problem solving skillsDemonstrated ability to mentor other software developers and provide technical vision.",software engineer
Snowbound Software Corporation,"Waltham, MA",Jr. Software Engineer - File Formats,"Parse file formats conforming to complex technical specifications with page layout processingDevelop imaging tools or applicationsResearch and code new image processing algorithmsWrite well commented code samplesFix bugs and resolve high level problemsAssist with writing documentation in English, ability to write in other languages is helpful.Suggest and develop new products0 - 3 years of software development experience, recent grads welcomeA good working knowledge of Java, C and C# requiredExperience with MS Visual Studio, Eclipse or NetBeans a plusExperience in document file format parsing with page layout processing for the MS Office formats. Experience in other complex document formats will be considered.Imaging and or graphics experience preferredThe ability to work independently as well as part of a team is essentialStrong interpersonal skillsStrong analytical skillsDesired Education: A degree (BS or BE) in computer science or related field",software engineer
Baseline Global,"Irvine, CA",Software Developer,United States (Required)2 months or lessPossibleBonusesFully RemoteWork from homeFlexible schedule8AM8PMNo: Not providing sponsorship for this jobMonday to FridayNight shiftMBAIHealth.com,software engineer
Lightspeed Voice,"Nokomis, FL",Software Engineer,PHP web application development: 4 years (Required)BonusesHealth insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursementTeam-oriented -- cooperative and collaborativeMonday to FridayWaiting period may applyOnly full-time employees eligibleTemporarily due to COVID-19,software engineer
Amica Insurance Company,"Lincoln, RI",Software Development Engineer in Test,"Build technical and application expertise, including the use of existing and emerging technologies, tools, programming, and technology conceptsDevelop, configure tools, or leverage other application based solutions for the purpose of ensuring high quality applications and systemsCreate test strategies, approaches, test scenarios and test ideas with clear intentProvide project stakeholders with information relevant to or intended to influence decisions that will positively impact the quality of application development delivery
Review business requirements, stories, system designs, and continually seek to understand all facets of application development activities for the purpose of providing the most efficient and effective technical based testing solutions
Oversee and guide vendor resources performing similar workProvides application developers with feedback during reviews or assistance with enhanced unit testingIdentifies risks, issues, potential defects, or defects in any phase of the project life cycle, managing them through closureBachelors degree preferred with 3+ years of experience in Information Technology, or an equivalent combination of education and experience sufficient to successfully perform the essential functions of the job2+ years of experience in test automation or application developmentProficient computer skills, including knowledge of programming and industry prevalent testing utilitiesExcellent Written and Verbal communication skills.",software engineer
PK Companies,"Wichita, KS",Full Stack Software Engineer,"We pride ourselves on being creative, we’re thinkers, we’re innovative, and we improve everything we touch.We measure success on product delivery, which means you are at the office during core team hours, but have some flexibility to work from home at times as well.We want you to grow professionally. Find trainings, meetups, or conferences that interest you every year – even if it's not directly related to your current project. We’ll cover the cost.We have no debt. All investment in product development comes directly from revenue generated by the business.We spend time together, the company hosts happy hours, lunches and events. Getting to know each other outside of the office makes us a better team.We take off time for holidays, and we start at 3 weeks vacation. Vacations are healthy for you, and the business. Take them.We provide Health, Vision, and Dental Benefits, a company matched 401K, company paid Life Insurance and Company Paid Short and Long Term DisabilityWe’re a growing company that’s maintaining a small company feel. We have a very talented group of people, and while we are growing fast, we try to maintain a friendly environment where people really want to work.Building rich, JavaScript-intensive web GUIsBuilding intuitive and responsive mobile applicationsDesigning and creating backend services and system architectureAccessing data stored in large scale databasesImproving and maintaining automated test coverageParticipating in and promoting the Security Development Lifecycle. (SDL)Implementing and adhering to standards for good coding and design guidelinesParticipating in the UI design process, in cooperation with designers and product ownersParticipating in code reviews and provide coaching to your teammatesProving feedback on user stories to Product Owner in refinement meetingsCreating and maintaining internal technical documentation7+ years experience software engineering experience5+ years working as a member of a development project team3+ years Node.JS3+ years Angular/Vue/React (We use Angular)3+ years mobile development (we use React Native)TypescriptReact NativeMongoDB or other NoSQL databaseAWSTestRailAtlasssian Tools (Jira, Bitbucket, Confluence)Scrum/AgilePaid time off and HolidaysHealth, Dental, and Vision BenefitsCompany Match 401KCompany Paid Life InsuranceCompany Paid Short DisabilityCompany Paid Long Term Disability100% support from us in helping you grow your skills and mastering your craft!United States (Required)One locationHealth insuranceDental insuranceVision insuranceRetirement planSigning bonusPaid time offFlexible scheduleParental leaveRelocation assistanceProfessional development assistanceMonday to FridayOn call",software engineer
AllSocial,"Eagle, ID",React/Node Software Engineer,Node/React: 2 years (Preferred),software engineer
Baseline Global,"Irvine, CA",Software Developer,United States (Required)2 months or lessPossibleBonusesFully RemoteWork from homeFlexible schedule8AM8PMNo: Not providing sponsorship for this jobMonday to FridayNight shiftMBAIHealth.com,software engineer
"Intertech, Inc","San Francisco, CA",.NET Software Engineer - Remote,"Contract to hire or direct placement100% RemoteExperience with React, TypeScript, JavaScriptExperience with C#Experience with Business Process Management systems, Sapiens and Appian are a plus
.Net Core experience a plusWeb API experienceScrum experienceAzureQuick paymentsWe only do AppDev consulting and have a continual pipeline of new project opportunitiesProactive communicationsSupport - If you're successful, we are successful",software engineer
Computer Services Incorporated,"Valparaiso, IN",Software Engineer-Implementations,Develop and maintain conversion softwareWork closely with Implementation Specialists who will provide field mappingPrepare documentation for assigned projectsStrong time-management and organizational skillsStrong problem solving and analytical skillsCollege degree or equivalent experience in software developmentGood written and verbal communication skillsAbility to work independently and in a team environmentDetail-orientedCOBOL experience is a plus.NET knowledge is a plus,software engineer
MKT MEDIASTATS,"Cambridge, MA",Software Engineer,"Lead project development including end-to-end deliveryCode design and code writingResearch new technologies and lead integration as necessarySystem deployment, configuration and IntegrationIntegration and production monitoringDeveloper at heart, openness to learn, and desire to experiment and implement new technologies.2+ years of experienceApplication Servers experience (e.g., Tomcat, Jetty, etc.)Design and implementation experienceDesire and capacity to work in a dynamic environmentGraduate of a top universityJava Spring, Python, SQL and NoSQL experienceLinux, AWS cloud servicesStatistics, mathematics, and financial markets - knowledge and librariesLarge systems experienceTeam spirit with the ability to work independently",software engineer
Blackboard Inc.,"Indianapolis, IN",Associate Software Engineer,"Developing the test strategy for features, incorporating the right balance of unit tests, integration/API tests, and UI tests
Designing, implementing, and maintaining complex testing environments, performing all aspects of verification including functional, regression, load, and system testing as well as documentation
Working in a Scrum team focused on building functionality for Blackboard’s mobile applicationsAny experience in QA automation
Any experience developing test automation scripts for web applications
Any experience with test automation tools and frameworks such as Webdriver and TestNG
Exposure to Java, JavaScript, HTML, and CSS
A basic technical understanding of database configuration and ability to write complex SQL queries
Any experience with one or more scripting languages like shell or bash
Any experience with REST APIs, JavaScript, XML, JSON
Exposure to build environments like Jenkins, Docker, and MesosState of the art, modern, new facility themed to reflect Indy's legacy as the racing capital of the world
Located on a large pond with access to a nearby walking trail
Within minutes of Keystone at the Crossing Mall with access to several restaurants
Flexible hours and a relaxed environment
Covered parking garage
In-building access to a racquetball court and exercise room that includes cardio and weight equipment
Office amenities including automatic espresso bars, free soft drinks and beverages, and a game room where you can kick back and relax with your coworkers",software engineer
Akkio,"Cambridge, MA",Startup Software Engineer,software development: 1 year (Preferred)python: 1 year (Preferred)United States (Required)Other formsOne locationHealth insuranceDental insuranceVision insuranceOtherInnovative -- innovative and risk-takingAggressive -- competitive and growth-orientedOutcome-oriented -- results-focused with strong performance cultureMonday to FridayOnly full-time employees eligibleTemporarily due to COVID-19,software engineer
Dimagi,"Cambridge, MA",Software Engineer,NA,software engineer
Microsoft,"Redmond, WA",Software Engineer,"
Design and development of tools used to monitor and manage our service.
Design and development of our next-generation test automation framework.
Release validation and management.
Live-site activities, including monitoring our service and responding to customer and internally generated incidents.
6 months experience with software development in C/C++, C#, or Java
6 months experience with scripting in PowerShell or Python
Familiarity with software engineering best practices and a solid foundation in data structures and algorithms
Strong testing, debugging and analytical skills
Strong verbal and written communication skills.
BS/BA in Computer Science or related field
Experience developing software for Windows (Win32, WPF, etc.)
Experience with systems engineering, multi-threaded programming, and/or distributed systems.
Experience in data storage, file systems, and/or networking.",software engineer
Search Staffing Group Inc.,"Hopkinton, MA",Software Engineer - Direct Hire,"Software design and development for automated machineryC# Programming, OOD, OOP, SQL knowledge
Troubleshoot, test, repair software/hardware issues Motion controllers, control theory
Software engineering for equipmentExperienced with Real time Operating Systems, OCRWork closely with internal team and customers
BS Computer Science, Electrical Engineering3 + work experience in software development",software engineer
Piper Companies,"Norristown, PA",Software Engineer (.Net),"
Help on-board new clients by augmenting the existing architecture utilizing the latest technology stack
Design N-Tier Client/Server web and desktop applications using .Net technologies
5+ years of .Net software development experience
Extensive hands on C# work
Experience with front end technologies: HTML, CSS, Bootstrap
API focus preferred (REST, SOAP, Web API)
Backend processing experience: SQL, Oracle
$65-75/hr (12+ month contract)
Comprehensive benefit package; Medical, Dental, Vision, 401k, and Paid Time Off",software engineer
Volly,"Woburn, MA",Software Engineer,"Provide technical direction to other engineers relative to the Ellie APIWork with Technology leadership team to design software based on business requirementsWrite code in several programming and scripting languagesWork within Amazon AWS Web Services where applicableTroubleshoot and fix software issues as necessaryProvide technical support to Business leaders and quality assurance teamProvide documentation for software solutions as necessary5+ years working in a Sr. Level Software Engineering role working on Ellie Mae’s SDK or rest API5+ years working within a software engineering team in various rolesReact.js, Node.js, strong knowledge of SQL/RDBMS (postgres, mysql, sql server), GITShould be comfortable working in Linux and Windows environmentsFamiliarity with AWS Services5+ years Agile Scrum Development methodologiesStrong business acumen and communication skills.Experience working with Product Managers/Owners and building consensus within a team environmentStrong interested in mobile development – React native, android/iOS, Java, Objective CUndergraduate Degree or equivalent experience preferredCompetitive base salaryVolly offers a full range of benefits to all full-time employees including medical (including Telehealth and Wellness), dental, vision, HRA, Short- and Long-Term Disability, Company-paid Life Insurance and AD&D as well as optional life and AD&D, Travel Assistance and EAP. In addition, Volly offers a 401K Retirement plan and Domestic Partner Coverage as well as a generous Paid Time Off (PTO) program and 10 paid holidays and 2 Floating Holidays per year.c++: 5 years (Preferred)Bachelor's (Preferred)United States (Preferred)BonusesOne locationFully RemoteHealth insuranceDental insuranceVision insuranceRetirement planPaid time offWork from homeFlexible scheduleOtherNoDetail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureMonday to FridayWww.myvolly.comWaiting period may applyOnly full-time employees eligibleYes",software engineer
MIT,"Cambridge, MA","Software Engineer, Tangible Media",NA,software engineer
Morningstar,"Woburn, MA",Software Engineer,"Incrementally develop new capabilities and strategically rearchitect portions of an existing system
Participate in test-driven, iterative software development, prototyping and code reviews with a small team of developers
Design and code middle-tier and back-end in Java using Spring, SQL, and various other open source packages
Implement robust and scalable services
Develop internal and external REST APIs
Develop and execute unit, service-level, and performance tests to ensure reliability and scalability
You have 1-3 years of software engineering experience building solutions for a broad, public user base
You have experience developing the server side of multi-tier web applications in Java
You have experience developing Java Web Services, preferably public API (e.g. REST/SOAP/WSDL/XML/SOA)
You have experience with SQL and relational databases (Oracle, SQL Server)
You are proficient in object-oriented development
You have demonstrated that you are able to quickly and effectively adopt new technology
You utilize industry-standard Java frameworks, architecture patterns, and design patterns
You perform Test-driven, iterative development and are familiar with BDD
You have used mocking frameworks, testing frameworks, and dependency injection
You may have experience with Spring Boot or Spring Security
You have excellent written and verbal communication skills
",software engineer
Indeed,"Seattle, WA","Director, Software Engineering",software engineer,
"Dephy, Inc.","Maynard, MA","C++ Software Engineer, 2+ Years, Robotics/Exoskeletons","Strong knowledge of C and C++Experience bridging the gap between low-level/embedded software and user applicationsExperience with all stages of the software development life cycle (SDLC)Experience diagnosing application failures in staging and production environments, understanding the underlying issues, and resolving themExperience with Git and managing repositories, workflows, and submodulesWillingness to work in a small multi-disciplinary teamAbility to work with clients or other engineers to trouble shoot issuesSelf-sufficiency is key, as well as a strong attention to detail and qualityMinimum education: bachelor’s degree in engineering or science and 2 years of experienceExcellent written and verbal communications skillsExperience with embedded computer and/or microcontroller software development, real time applicationsExperience with Python and Matlab/OctaveExperience with graphical user interface (GUI) programming (Qt)Experience writing Android appsExperience with robots, exoskeletons, active prostheses or other electromechanical systemsStart date: nowCandidates need to be authorized to work in the U.S. Dephy does not sponsor H-1B visas.Salary and equity will be determined based on qualificationsApply at http://dephy.com/Software Engineering: 2 years (Preferred)C++: 2 years (Preferred)United States (Required)One locationHealth insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleInnovative -- innovative and risk-takingMonday to Fridaydephy.comTemporarily due to COVID-19",software engineer
Computer Services Incorporated,"Valparaiso, IN",Software Engineer-Implementations,Develop and maintain conversion softwareWork closely with Implementation Specialists who will provide field mappingPrepare documentation for assigned projectsStrong time-management and organizational skillsStrong problem solving and analytical skillsCollege degree or equivalent experience in software developmentGood written and verbal communication skillsAbility to work independently and in a team environmentDetail-orientedCOBOL experience is a plus.NET knowledge is a plus,software engineer
"Intertech, Inc","San Francisco, CA",.NET Software Engineer - Remote,"Contract to hire or direct placement100% RemoteExperience with React, TypeScript, JavaScriptExperience with C#Experience with Business Process Management systems, Sapiens and Appian are a plus
.Net Core experience a plusWeb API experienceScrum experienceAzureQuick paymentsWe only do AppDev consulting and have a continual pipeline of new project opportunitiesProactive communicationsSupport - If you're successful, we are successful",software engineer
Indeed,"Seattle, WA","Director, Software Engineering",software engineer,
Baseline Global,"Irvine, CA",Software Developer,United States (Required)2 months or lessPossibleBonusesFully RemoteWork from homeFlexible schedule8AM8PMNo: Not providing sponsorship for this jobMonday to FridayNight shiftMBAIHealth.com,software engineer
